FLUXO DE DESEMBOLSOS JOAQUIM LEME POR MÊS E POR ETAPA;VALOR TOTAL MENSAL;TOPOGRAFIA e CONTROLE;MANUTENÇÕES / AS BUILTS;DRENAGEM;REDE DE ÁGUA POTÁVEL;RESERVATÓRIO / ADUTORA;SISTEMA DE ESGOTO SANITÁRIO;ESTAÇÃO ELEVATÓRIA DE ESGOTO;GUIAS E SARJETAS;PAVIMENTAÇÃO TOTAL;ELETRIFICAÇÃO;MEIO AMBIENTE;OBRA DE ACESSO ;TOPOGRAFIA DE ENTREGA;INDIRETO DE OBRAS;
ago/23;R$ 9.197,00; - ;R$ 9.197,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
set/23;R$ 5.000,00; - ;R$ 5.000,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
out/23;R$ 7.500,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;R$ 7.500,00; - ; - ;
nov/23;R$ 6.900,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;R$ 6.900,00; - ; - ;
dez/23;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
jan/24;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
fev/24;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
mar/24;R$ 8.000,00; - ;R$ 8.000,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
abr/24;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
mai/24;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
jun/24;R$ 400,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;R$ 400,00;
jul/24;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
ago/24;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
set/24;R$ 5.000,00; - ;R$ 5.000,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
out/24;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
nov/24;R$ 2.950,00; - ;R$ 2.950,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
dez/24;-; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
jan/25;R$ 2.950,00; - ;R$ 2.950,00; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;
fev/25;R$ 85.000,00; - ; - ; - ; - ;R$ 85.000,00; - ; - ; - ; - ; - ; - ; - ; - ; - ;
mar/25;R$ 76.195,00; - ; - ;R$ 4.500,00;R$ 3.000,00;R$ 62.000,00;R$ 4.500,00; - ; - ; - ; - ; - ; - ; - ;R$ 2.195,00;
abr/25;R$ 68.195,00; - ;R$ 4.000,00; - ; - ;R$ 62.000,00; - ; - ; - ; - ; - ; - ; - ; - ;R$ 2.195,00;
mai/25;R$ 97.659,00; - ;R$ 32.644,00; - ; - ;R$ 62.000,00; - ; - ; - ; - ; - ; - ; - ; - ;R$ 3.015,00;
